-0.408799 -0.804610 1.504635 0.072226 5.740000
-0.414188 -0.802516 1.502845 0.088387 5.650000
-0.402484 -0.806444 1.498512 0.081073 7.270000
-0.403053 -0.807347 1.495402 0.068358 7.260000
-0.404689 -0.801919 1.505757 0.174341 5.600000
-0.400787 -0.802724 1.505490 0.172163 5.990000
-0.418650 -0.802560 1.493848 0.073824 6.370000
-0.401615 -0.811840 1.499017 0.154610 5.720000
-0.403474 -0.811359 1.506105 0.161688 5.370000
-0.405337 -0.803052 1.502435 0.093150 5.270000
-0.400604 -0.800628 1.496107 0.132303 5.920000
-0.415894 -0.804247 1.504862 0.107437 5.970000
-0.408955 -0.808296 1.496117 0.078339 6.830000
-0.406345 -0.807483 1.505846 0.055401 6.450000
-0.408850 -0.806413 1.504043 0.078747 5.510000
-0.407775 -0.804679 1.498827 0.152660 6.610000
-0.413530 -0.801813 1.501413 0.156341 6.730000
-0.404446 -0.806583 1.496285 0.060854 6.170000
-0.402480 -0.802753 1.497593 0.115000 6.230000
-0.407313 -0.802574 1.504782 0.125638 5.150000
-0.338038 -0.830249 1.502730 0.147580 6.140000
-0.073958 -0.895364 1.495397 0.163736 5.680000
-0.013538 -0.897688 1.497343 0.110199 6.470000
-0.159501 -0.879825 1.495549 0.133569 7.390000
-0.254142 -0.861627 1.499172 0.076022 6.530000
-0.055710 -0.901108 1.502452 0.148618 6.820000
-0.083633 -0.895292 1.505238 0.119701 5.950000
-0.080421 -0.897051 1.502145 0.090509 6.480000
-0.190478 -0.877296 1.499918 0.099615 6.370000
-0.356585 -0.822567 1.495015 0.126111 6.800000
-0.171713 -0.884699 1.494719 0.136511 6.380000
-0.125915 -0.887983 1.502752 0.189065 8.670000
-0.019148 -0.897748 1.500256 0.156032 5.990000
-0.280004 -0.849433 1.494302 0.139210 6.880000
-0.119515 -0.895768 1.500443 0.098218 5.970000
-0.343343 -0.831101 1.499111 0.124076 6.050000
-0.386309 -0.814301 1.498113 0.076661 5.480000
-0.057172 -0.897877 1.494378 0.082874 7.080000
-0.301964 -0.853808 1.503317 0.152901 6.220000
-0.198592 -0.873524 1.501137 0.143365 7.440000
-0.001816 -0.898643 1.494730 0.172550 6.950000
-0.385393 -0.810562 1.504382 0.150880 5.910000
-0.380750 -0.816475 1.505257 0.094190 7.190000
-0.327991 -0.832192 1.497867 0.127476 6.630000
-0.077779 -0.901875 1.500449 0.077999 7.720000
-0.100435 -0.896611 1.498942 0.059571 5.920000
-0.095766 -0.895294 1.502583 0.084274 7.390000
